the,wicked,and,of,to,in,gladiator,is,for,on
0.1436369829910675,0.07728132318628493,0.0,0.0691092556093206,0.0,0.0,0.0,0.0,0.0,0.17032434288965587
0.029674608008037732,0.047897684652108675,0.0,0.0,0.041584882028711335,0.0,0.0,0.05228698943371541,0.05406279275893319,0.0
0.1224090385754684,0.0,0.042884858218093735,0.13251527607441438,0.0,0.04515637041641018,0.0,0.10784304387193845,0.05575283827281983,0.05443211410014552
0.13207434530825846,0.0,0.12338935400428444,0.0,0.0,0.0,0.0,0.07757215524382864,0.24062012739100438,0.0
0.1070766252421867,0.04320800487131204,0.11253987316840329,0.0,0.0,0.11850085112941139,0.0,0.04716755122021865,0.048769484993924014,0.0
0.0,0.0,0.0,0.0,0.054243129250039684,0.0,0.22012826429253177,0.0,0.1410385174697007,0.0
0.0812547535540382,0.0,0.0,0.117284325023471,0.0,0.0,0.15403133488462434,0.0,0.0,0.0
0.23996601731594383,0.04841604235137784,0.08406984279523004,0.12988895020809665,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0447761827486095,0.0,0.0,0.0,0.0,0.05651573197920796,0.16553080705015205
0.09752229206635007,0.0,0.0,0.04692171103621227,0.0,0.14390286193418353,0.0,0.0,0.1184475621701257,0.05782083404775755
0.029506454852325743,0.0,0.12404771552033061,0.08518011537353454,0.041349238506776874,0.08707882492943475,0.2796709379958954,0.0,0.05375644231930631,0.10496602119604984
0.06965087493776256,0.11242324220790997,0.0,0.15080266994355482,0.0,0.0,0.0,0.0,0.0,0.0
0.041059896399300244,0.0,0.0,0.0,0.0,0.0,0.0,0.07234799423797435,0.1496102438244423,0.0
0.0,0.0,0.0,0.047296681465525986,0.0,0.0,0.0,0.11547237975989007,0.0,0.0
0.0491568394840295,0.0,0.06888655008665907,0.0,0.06888655008665907,0.0,0.09318462333897476,0.0,0.0,0.13115260409210316
0.10245257162191237,0.0,0.04785772967111952,0.04929385742174274,0.0,0.05039264342036943,0.0,0.0,0.0,0.06074399007650704
0.15881077809244348,0.0,0.0,0.15281989955732087,0.07418382151359065,0.0,0.20070075963721237,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.049583688289751675,0.0,0.20121942430961398,0.1246886685358826,0.12892342281416624,0.06293468349057264
0.122179635413443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07419780470146775,0.21732041793428525
0.17054357824611893,0.0,0.0,0.06154128708414963,0.059748342591401646,0.06291307472914943,0.0,0.0,0.0,0.0
0.08577192465047785,0.0,0.040065852113918665,0.0,0.040065852113918665,0.08437609609920001,0.0,0.0,0.0,0.15256217166628552
0.09264628712901357,0.0,0.04327700997897596,0.044575678248906694,0.04327700997897596,0.0911385871062901,0.0,0.0,0.056262658629265445,0.05492985736618034
0.1803261133879468,0.11642550845162672,0.0,0.05205708113740294,0.10108089919708645,0.053217460845441815,0.0,0.06354732357566212,0.0,0.06414906411092813
0.12156424051052314,0.0,0.042588891141971646,0.0,0.08517778228394329,0.0,0.0,0.1070987720776244,0.0,0.0
0.0674563718890693,0.0,0.0,0.0,0.1890616561022146,0.0,0.0,0.0,0.12289563699444583,0.059992186429663225
0.11750849529275952,0.0,0.0,0.0,0.041167998856102804,0.04334857296704763,0.0,0.0,0.05352082011248296,0.05225297002531762
0.03834232693148741,0.0,0.10746299608879795,0.0,0.05373149804439897,0.0,0.0,0.06755960660331951,0.0,0.0
0.12865567774386227,0.10383134765604475,0.0,0.09285176352538561,0.04507330964450538,0.0,0.0,0.0,0.058597953857069826,0.0
0.047878270041018786,0.0,0.0670948108515961,0.13821642031854486,0.0,0.0706486684979957,0.0,0.0,0.0,0.0
0.1596334649102035,0.04294397284103045,0.07456811565774986,0.15361155185175163,0.03728405782887493,0.0,0.0,0.0,0.0,0.09464646377221739
0.0,0.0,0.0,0.0,0.09374307207235451,0.04935421337927465,0.0,0.0,0.0,0.11898450425534324
0.03829859529603383,0.12363526686595404,0.0,0.0,0.10734042834328518,0.05651300184176029,0.0,0.0,0.0697744354327074,0.0
0.03233155193897602,0.10437249777094863,0.0906164470865661,0.0,0.0,0.09541619164625283,0.0,0.0,0.0,0.057507999234619085
0.16025968885942038,0.10346984920379623,0.0,0.046264245756030525,0.0,0.23647750058891234,0.0,0.0,0.0,0.057010650658916244
0.063600962636715,0.0,0.0,0.04590128975487735,0.0,0.09384890727307231,0.0,0.0,0.0,0.0
0.091188771761894,0.0,0.06389426129966595,0.06581161764708575,0.0,0.0,0.0,0.0,0.0,0.08109854773731194
